lon,lat,vs30,z1pt0,z2pt5,vs30measured
76.53944,43.11183,9.000000E+02,1.545801E+01,5.001037E-01,0
76.53967,43.12083,6.255554E+02,1.061661E+02,7.582027E-01,0
76.53989,43.12983,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54012,43.13883,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54034,43.14783,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54057,43.15683,7.409034E+02,4.733661E+01,6.247500E-01,0
76.54080,43.16584,6.586650E+02,8.462858E+01,7.147619E-01,0
76.54102,43.17484,5.577040E+02,1.645274E+02,8.646248E-01,0
76.54125,43.18384,4.154451E+02,3.363834E+02,1.210972E+00,0
76.54148,43.19284,4.098760E+02,3.434126E+02,1.229813E+00,0
76.54170,43.20184,4.454524E+02,2.978520E+02,1.118111E+00,0
76.54193,43.21084,5.136230E+02,2.126453E+02,9.500280E-01,0
76.54216,43.21985,5.264187E+02,1.979330E+02,9.236562E-01,0
76.54238,43.22885,4.575091E+02,2.822920E+02,1.084467E+00,0
76.54261,43.23785,3.618268E+02,4.004659E+02,1.418367E+00,0
76.54284,43.24685,4.119684E+02,3.407786E+02,1.222670E+00,0
76.54306,43.25585,4.286771E+02,3.194886E+02,1.168306E+00,0
76.54329,43.26485,3.753100E+02,3.852670E+02,1.360226E+00,0
76.54352,43.27385,2.998823E+02,4.588698E+02,1.758254E+00,0
76.54375,43.28286,2.968524E+02,4.611873E+02,1.778800E+00,0
76.54397,43.29186,3.356597E+02,4.276020E+02,1.545557E+00,0
76.54420,43.30086,3.724766E+02,3.885224E+02,1.372070E+00,0
76.54443,43.30986,3.904476E+02,3.673799E+02,1.300067E+00,0
76.54466,43.31886,4.312175E+02,3.162223E+02,1.160435E+00,0
76.54489,43.32786,2.255957E+02,5.010970E+02,2.435023E+00,0
76.54511,43.33686,4.500937E+02,2.918560E+02,1.104930E+00,0
76.54534,43.34586,3.973561E+02,3.589707E+02,1.274241E+00,0
76.54557,43.35487,3.607709E+02,4.016238E+02,1.423117E+00,0
76.54580,43.36387,2.604608E+02,4.849627E+02,2.065876E+00,0
76.54603,43.37287,3.047205E+02,4.550608E+02,1.726355E+00,0
76.54626,43.38187,3.447708E+02,4.185351E+02,1.498921E+00,0
76.54649,43.39087,4.220294E+02,3.280055E+02,1.189382E+00,0
76.54671,43.39987,4.491785E+02,2.930380E+02,1.107506E+00,0
76.54694,43.40887,3.687477E+02,3.927582E+02,1.387954E+00,0
76.53650,42.49952,6.000000E+02,1.258341E+02,7.952587E-01,0
76.53672,42.50852,3.073499E+02,4.529347E+02,1.709469E+00,0
76.53694,42.51752,4.185969E+02,3.323814E+02,1.200546E+00,0
76.53716,42.52652,4.575996E+02,2.821754E+02,1.084221E+00,0
76.53738,42.53553,4.512748E+02,2.903309E+02,1.101623E+00,0
76.53760,42.54453,4.236800E+02,3.258955E+02,1.184083E+00,0
76.53782,42.55353,3.997497E+02,3.560260E+02,1.265517E+00,0
76.53804,42.56253,4.598917E+02,2.792264E+02,1.078042E+00,0
76.53827,42.57154,4.766041E+02,2.578980E+02,1.034906E+00,0
76.53849,42.58054,5.050148E+02,2.228430E+02,9.685758E-01,0
76.53871,42.58954,4.967856E+02,2.327945E+02,9.869524E-01,0
76.53893,42.59854,4.877070E+02,2.439768E+02,1.007998E+00,0
76.53915,42.60755,5.203691E+02,2.048189E+02,9.359510E-01,0
76.53937,42.61655,5.589145E+02,1.633139E+02,8.624827E-01,0
76.53959,42.62555,5.912646E+02,1.331944E+02,8.087141E-01,0
76.53982,42.63455,6.150385E+02,1.139276E+02,7.730530E-01,0
76.54004,42.64356,8.068835E+02,2.959013E+01,5.666593E-01,0
76.54026,42.65256,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54048,42.66156,7.626886E+02,4.052189E+01,6.043775E-01,0
76.54071,42.67056,6.176320E+02,1.119709E+02,7.693407E-01,0
76.54093,42.67957,7.022469E+02,6.232264E+01,6.642462E-01,0
76.54115,42.68857,6.900193E+02,6.795025E+01,6.777295E-01,0
76.54137,42.69757,6.239822E+02,1.072981E+02,7.603903E-01,0
76.54160,42.70657,7.487676E+02,4.475364E+01,6.172492E-01,0
76.54182,42.71558,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54204,42.72458,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54226,42.73358,8.986021E+02,1.560650E+01,5.009938E-01,0
76.54249,42.74258,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54271,42.75158,8.906440E+02,1.648148E+01,5.061182E-01,0
76.54293,42.76059,6.540558E+02,8.737383E+01,7.205268E-01,0
76.54316,42.76959,5.971741E+02,1.281791E+02,7.995656E-01,0
76.54338,42.77859,8.646526E+02,1.972328E+01,5.235604E-01,0
76.54361,42.78759,7.094279E+02,5.922802E+01,6.565601E-01,0
76.54383,42.79660,7.208259E+02,5.461843E+01,6.446970E-01,0
76.54405,42.80560,6.844092E+02,7.069000E+01,6.840883E-01,0
76.54428,42.81460,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54450,42.82360,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54473,42.83260,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54495,42.84161,7.542610E+02,4.303324E+01,6.121088E-01,0
76.54517,42.85061,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54540,42.85961,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54562,42.86861,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54585,42.87761,8.296611E+02,2.519312E+01,5.488973E-01,0
76.54607,42.88662,8.682551E+02,1.923610E+01,5.210758E-01,0
76.54630,42.89562,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54652,42.90462,7.939709E+02,3.242911E+01,5.772144E-01,0
76.54675,42.91362,8.031345E+02,3.038695E+01,5.696861E-01,0
76.54697,42.92262,3.365039E+02,4.267800E+02,1.541121E+00,0
76.54720,42.93163,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54742,42.94063,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54765,42.94963,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54787,42.95863,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54810,42.96763,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54833,42.97663,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54855,42.98564,7.678229E+02,3.906483E+01,5.997566E-01,0
76.54878,42.99464,7.502180E+02,4.429286E+01,6.158842E-01,0
76.54900,43.00364,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54923,43.01264,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54946,43.02164,9.000000E+02,1.545801E+01,5.001037E-01,0
76.54968,43.03065,7.735099E+02,3.751266E+01,5.947145E-01,0
76.54991,43.03965,7.152742E+02,5.681845E+01,6.504245E-01,0
76.55014,43.04865,7.895238E+02,3.347055E+01,5.809352E-01,0
76.55036,43.05765,7.615325E+02,4.085749E+01,6.054271E-01,0
76.55059,43.06665,6.727814E+02,7.670039E+01,6.976310E-01,0
76.55082,43.07565,5.545210E+02,1.677473E+02,8.703048E-01,0
76.55104,43.08466,6.599115E+02,8.389959E+01,7.132175E-01,0
76.55127,43.09366,6.892845E+02,6.830330E+01,6.785560E-01,0
76.55150,43.10266,7.985091E+02,3.140065E+01,5.734628E-01,0
76.55173,43.11166,8.233466E+02,2.633928E+01,5.537156E-01,0
76.55195,43.12066,9.000000E+02,1.545801E+01,5.001037E-01,0
76.55218,43.12966,9.000000E+02,1.545801E+01,5.001037E-01,0
76.55241,43.13867,9.000000E+02,1.545801E+01,5.001037E-01,0
76.55264,43.14767,9.000000E+02,1.545801E+01,5.001037E-01,0
76.55287,43.15667,7.771406E+02,3.655461E+01,5.915370E-01,0
76.55309,43.16567,6.341246E+02,1.001779E+02,7.464927E-01,0
76.55332,43.17467,5.512148E+02,1.711361E+02,8.762788E-01,0
76.55355,43.18367,4.379106E+02,3.075941E+02,1.140167E+00,0
76.55378,43.19267,3.745660E+02,3.861248E+02,1.363318E+00,0
